country,year,export,gdp,gdpgrowth,gdppercapita,merchandisetrade,trade
Australia,1976,14.2,105.0,2.6,7476.7,24.2,26.9
Australia,1979,19.3,135.0,4.0,9281.5,27.4,29.7
Australia,1986,27.3,182.0,4.0,11364.2,26.7,33.1
Australia,1990,47.1,311.0,3.6,18211.3,26.3,32.2
Australia,1995,65.8,367.0,3.8,20319.6,31.2,37.8
Australia,2001,84.1,378.0,1.9,19490.9,33.6,44.4
Australia,2007,172.0,853.0,3.8,40960.1,36.0,42.1
Australia,2012,332.0,1550.0,3.9,68012.1,33.5,43.2
Australia,2017,282.0,1330.0,2.4,54066.5,34.6,41.8
Brazil,1976,10.7,153.0,9.8,1390.6,15.6,16.5
Brazil,1979,16.0,225.0,6.8,1908.5,15.6,16.3
Brazil,1986,23.6,268.0,8.0,1941.5,14.1,15.2
Brazil,1990,37.9,462.0,-3.1,3100.3,11.7,15.2
Brazil,1995,57.9,769.0,4.4,4748.2,13.1,17.0
Brazil,2001,69.2,559.0,1.4,3156.8,20.9,26.9
Brazil,2007,186.0,1400.0,6.1,7348.0,20.6,25.3
Brazil,2012,293.0,2470.0,1.9,12370.0,19.3,25.1
Brazil,2017,258.0,2060.0,1.3,9925.4,18.2,24.3
China,1976,6.9,154.0,-1.6,165.4,8.8,8.8
China,1979,9.2,178.0,7.6,184.0,16.4,11.1
China,1986,26.2,301.0,8.9,281.9,24.6,19.9
China,1990,49.1,361.0,3.9,317.9,32.0,24.3
China,1995,132.0,735.0,10.9,609.7,38.2,34.3
China,2001,272.0,1340.0,8.3,1053.1,38.1,38.5
China,2007,1260.0,3550.0,14.2,2694.0,61.3,62.2
China,2012,2180.0,8530.0,7.9,6316.9,45.3,48.3
China,2017,2420.0,12300.0,6.9,8879.4,33.4,37.6
France,1976,72.0,372.0,4.4,6866.8,32.5,39.6
France,1979,127.0,614.0,3.5,11179.6,33.8,41.0
France,1986,157.0,771.0,2.3,13540.2,33.0,40.9
France,1990,266.0,1270.0,2.9,21793.8,35.5,42.7
France,1995,362.0,1600.0,2.1,26890.2,36.9,43.6
