country,year,Exports of goods and services (current US$),GDP (current US$),GDP growth (annual %),GDP per capita (current US$),Merchandise trade (% of GDP),Trade (% of GDP)
Australia,1976,14185049792,1.04921E+11,2.587639201,7476.748748,24.2324681,26.90006488
Australia,1979,19275247075,1.34712E+11,4.04350392,9281.523356,27.3576161,29.66514036
Australia,1986,27321628428,1.82037E+11,4.037247244,11364.23946,26.73798063,33.08907163
Australia,1990,47071950750,3.10777E+11,3.570617421,18211.27459,26.30083359,32.22022756
Australia,1995,65793733294,3.67216E+11,3.836059118,20319.63063,31.1516618,37.80155166
Australia,2001,84096812279,3.78376E+11,1.930882544,19490.86111,33.63716801,44.36520836
Australia,2007,1.72357E+11,8.531E+11,3.844309553,40960.05449,35.9505489,42.05143968
Australia,2012,3.32126E+11,1.54615E+12,3.918161772,68012.1479,33.47763172,43.21034667
Australia,2017,2.81898E+11,1.33014E+12,2.367617253,54066.47127,34.57624514,41.77000012
Brazil,1976,10741988183,1.52678E+11,9.790410161,1390.624975,15.6237289,16.46833138
Brazil,1979,16026612550,2.24969E+11,6.766284965,1908.487627,15.57900148,16.29947274
Brazil,1986,23640556197,2.68137E+11,7.988295105,1941.491109,14.13679135,15.17116523
Brazil,1990,37880000000,4.61952E+11,-3.102355949,3100.280468,11.67567744,15.16175556
Brazil,1995,57920041190,7.69305E+11,4.416731355,4748.215529,13.08232099,16.98446
Brazil,2001,69203919565,5.59372E+11,1.389896403,3156.798718,20.8571295,26.93628502
Brazil,2007,1.86199E+11,1.39708E+12,6.069870608,7348.030794,20.56382637,25.29261137
Brazil,2012,2.92804E+11,2.46519E+12,1.921150318,12370.0242,19.30789334,25.11429438
Brazil,2017,2.5833E+11,2.06283E+12,1.322869054,9925.386238,18.19678838,24.32771373
China,1976,6943442876,1.5394E+11,-1.570000003,165.4055404,8.836533561,8.836913605
China,1979,9204347826,1.78281E+11,7.6,183.9831522,16.39830745,11.08657813
China,1986,26202580690,3.00758E+11,8.93970894,281.9281209,24.55328717,19.88147995
China,1990,49129758920,3.60858E+11,3.907113896,317.884673,31.98932211,24.27313211
China,1995,1.31859E+11,7.34548E+11,10.94922737,609.6566792,38.23630844,34.27409603
China,2001,2.7206E+11,1.3394E+12,8.33991055,1053.108243,38.05081596,38.52735928
